,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,loss,mean_absolute_error,mean_absolute_percentage_error
46,140745.29278611,110.96206408,32.56742474,170905.12553913,119.44393215,30.49424503
47,104933.46753366,102.69694996,34.61145756,127501.36231810,107.70713581,33.86340816
48,204607.81860465,118.38847218,46.19158213,142093.71840423,113.65421570,38.57059923
49,108307.86725061,115.48001529,52.30935927,152317.48647581,126.34777500,48.17981924
50,77302.74999235,102.84428250,47.23556780,92076.13341800,106.02619127,49.26896765
51,100866.96814565,114.24551142,55.80912491,142001.54136446,123.84710252,51.06188311
52,182682.31419829,137.52674528,56.82692696,120118.90256129,119.45552487,55.19134393
53,95918.23984088,111.11494129,53.89014055,134799.24389257,127.78489164,57.59492248
54,67126.03533507,96.24722690,41.97165998,82807.05064401,102.96252616,48.29227727
55,82826.63737760,94.82396837,41.14739462,73167.19149679,89.32310692,37.33657340
56,473327.77833537,151.16971684,59.93393949,369207.41429192,150.49715759,56.23614986
57,152510.33658966,127.26864062,53.85370855,227016.23168098,141.88647814,58.24507522
58,548411.56505508,127.21009916,44.49563808,140482.22399875,119.02094306,48.70438347
59,119552.08241279,108.93626508,37.17249128,185728.85851714,108.52116577,39.63497029
60,86900.62285802,92.93825774,34.13345323,101708.51961605,98.20208136,35.76917790
61,130468.82984241,112.39263618,32.13485642,100883.30106106,95.11523711,32.33880314
62,90997.67932987,99.16616594,29.18885021,115676.77124451,106.79758966,31.05312106
63,69153.43378978,84.43128827,24.00435626,79785.67881571,91.53339645,27.34275333
64,54290.41940024,74.19840228,20.48617116,64727.25176529,79.79994430,22.56666465
65,374568.50057375,95.16206834,21.61812805,60879.62921310,75.49113586,18.81225028
66,116558.32538250,100.17523649,25.64036244,88428.82911969,89.30182467,29.23380737
67,101153.68746940,72.86443139,21.42172516,65624.12012077,78.97873754,25.70733050
68,54473.21391906,76.80499960,20.39081402,68648.41782004,79.84583593,22.19622504
69,44098.14958690,64.18991051,16.67285019,47446.25114463,66.43088534,16.50383110
70,49898.65103274,61.99122316,15.96019834,60219.11405185,59.65339037,14.50189692
71,56689.59145502,64.27453701,18.27856480,47171.27494551,59.80961328,17.31847100
72,70673.40429162,76.18112071,16.85759001,42429.96916705,58.31233802,17.30727601
73,123895.14629743,95.52187299,20.60625744,79670.29677176,66.15549976,17.13612917
74,42396.37358094,66.41381642,15.34164114,76956.73872247,81.80945502,21.03462042
75,33839.14721160,57.87331796,11.94181033,49772.62649245,65.70753448,14.38597355
76,37685.49453412,59.56779028,15.04578454,29511.29850428,55.45933826,11.73050800
77,143606.02506885,105.36250572,22.60197231,199234.16546441,79.03128328,13.32731740
78,106936.19917381,104.98561520,29.79320565,121140.71437467,98.20956416,25.15779283
79,59484.63240514,76.13596505,26.49910638,78056.17072545,87.73587869,28.76505399
80,35293.71341034,59.16835238,16.21413878,42223.69937811,65.40926239,21.75166785
81,26692.45412332,50.17119800,10.93361772,28749.76017428,54.45218798,13.41627061
82,57452.46766371,51.24301556,10.93829048,31216.34572914,49.72000811,10.52722787
83,23652.90008797,46.58733589,11.18709681,36959.29788341,51.72621499,12.68068141
84,46444.14619798,55.50164098,13.46102051,234630.28570276,62.19155130,11.87443437
85,32482.60759639,48.58625851,12.33265120,33156.66641752,48.29310365,13.12858305
86,27756.33476515,44.49170900,11.27156060,26125.10152256,44.75265292,11.79572049
87,28422.55200811,43.37598944,11.98515792,31932.66747734,45.62776965,11.55507986
88,24835.10352662,44.37201300,11.36761416,28178.81123943,45.80719079,11.71999058
89,23691.86728121,44.69750642,10.90633325,23717.31850809,41.90090392,11.19381077
90,29644.09948745,45.42925588,14.66374750,31731.71434681,47.46510464,11.67675066
91,33292.60685817,49.47710792,19.16954884,42328.74935579,50.89759613,16.68624544
92,38072.80099449,53.83393317,22.49641293,38752.43020533,53.05785892,19.90358883
93,34523.03665851,64.23746572,23.89906592,34375.49352058,53.15783432,23.07399795
94,24994.80446565,48.88743280,16.90954489,29364.33772389,52.69779717,20.26009635
95,46807.23622246,59.62949982,21.11671135,32549.01962629,52.33717590,16.29268572
96,17446.51674572,41.29497954,18.49276913,32449.91811480,51.55804551,20.42750709
97,13985.72347766,37.43125990,16.19766400,24466.26319686,47.32904492,17.46118448
98,25370.22101438,43.53166682,15.73144742,49788.33153780,50.50242146,17.38894318
99,13449.52103159,36.76192233,14.96815127,23532.30828199,42.84890347,15.82237272
100,18830.28774671,38.51785398,15.18306401,26969.51204618,46.50960646,15.54957807
101,51756.21734241,71.70639930,15.38376705,13509.71916889,35.81301779,14.61643427
102,45428.46728121,62.77099399,14.97567149,18724.38577998,43.44559464,13.90326065
103,23794.10129093,43.12188501,14.45350236,24864.20653083,46.70317443,14.26235164
104,27900.11186888,44.93212016,18.92290321,36701.41886532,48.69755575,16.34406419
105,42417.93224449,55.28355102,21.24316204,27160.07736628,45.68537171,19.98155390
106,19629.77807910,42.31761199,23.55169714,30273.28747803,46.60273384,22.58791254
107,27603.39988908,47.86203875,23.22853552,26450.26868814,47.04789433,22.63582662
108,10215.60787370,33.19464193,18.76289202,20449.69682661,43.62368058,21.29225759
109,6123.34299074,28.81071773,16.94077236,20621.15904009,42.96685444,18.49273198
110,30653.62790698,41.88083396,18.36073457,24494.46217707,45.39108773,18.31897309
111,20380.20283048,46.60454154,18.28879006,24862.43364650,47.11034269,18.23459370
112,8009.95757535,31.59150559,18.02810778,27582.18717625,49.28295111,18.75590778
113,19939.24479613,42.13775011,18.75074460,26729.18235162,47.58320690,18.92228975
114,1539222.81976744,69.41499985,19.80436530,18423.79081591,40.77979597,18.84572996
115,19776.56487148,46.97087595,17.21955919,19751.71121669,44.98354890,18.04361778
116,76381.01536108,42.66799421,20.75152202,26451.73992671,48.14476068,18.61139715
117,32462.61834264,57.83080406,20.71927266,22667.29187697,43.79548938,20.04016241
118,35344.81021649,56.98067807,17.48159565,20630.31778194,45.66486429,18.81553278
119,20238.36752792,41.70677173,16.25810000,24019.73569077,47.84852543,17.60365887
120,8156.77425891,34.62147825,14.02517796,18204.90579588,44.07288696,15.83784472
121,7912.19813150,29.59465498,10.91135812,24517.15494083,43.43028531,13.34057134
122,25906.89025780,35.40349676,10.20902354,19520.29239531,42.17417315,11.30156295
123,21794.41625421,46.66204215,9.65133137,21791.68827895,41.79142647,10.46079636
124,20655.96413039,49.32124253,11.30666910,18345.91146188,41.23493762,9.74351827
125,86147.32230340,86.77118041,11.31794914,23635.02381952,45.19952119,9.84313827
126,21999.07597537,34.51534517,7.12431586,35215037.71468142,67.14754191,9.97268148
127,12397.37831242,25.70216115,7.38005604,21815.51908901,34.72024373,7.66542421
128,28257.32286184,41.82827435,7.25635656,13866.77168737,28.95661637,6.92209325
129,8278.49757114,23.58573253,6.26627878,15592.99649687,29.81046268,6.79228439
130,6776.24189298,23.80381212,6.02914957,10423.35478685,28.15308896,6.44380737
131,11519.76896611,28.49814009,6.21761990,9833.53402596,29.19637059,6.47124997
132,4743.23242474,19.86027717,5.56238163,10822.88616876,29.72440970,6.43009655
133,3731.77741642,20.32193548,5.53658991,12473.39483592,33.77115410,6.52002505
134,27418.63140491,49.54231637,7.02233222,10325.39389605,29.84473114,6.16692508
135,9117.55477356,23.86091575,5.79719228,15414.27004775,34.75297647,6.50602138
136,15580.29129246,26.69083578,5.43400057,13730.70911865,31.87694628,6.18083004
137,3570.74476027,19.03563223,5.14614544,10627.94142026,31.84761009,6.08145964
138,3343.42876664,18.21760039,5.09619653,12716.63706608,29.90789600,5.96782976
139,7651.00323808,26.55183289,5.31140283,5174.24819349,22.43373051,5.31493623
140,16708.44756732,35.35375841,5.93427930,17483.24820870,31.76470071,6.14023347
141,6999.05287160,24.54784312,5.59222928,13630.60855545,31.16967064,5.92260672
142,15017.05412140,26.23077081,5.57107789,13503.42658360,29.25002714,5.92727955
143,3887.27450514,19.17318415,5.36453379,18633.04744824,34.73033824,6.35556499
144,4950.83719066,19.85768207,5.91892454,15687.57878509,33.29363471,6.87429652
145,4433.49457524,19.87497481,6.21800979,15882.82293918,30.23221096,6.90149005
146,6281.34656661,26.94899843,6.25518437,14822.52124297,31.34423911,6.78544823
147,7855.60504705,24.22388148,6.05376631,12504.51096372,30.89653184,6.58054961
148,26582.89690177,41.61311543,6.72548204,14982.05491231,31.08690226,6.66008347
149,5566267.25752754,134.05661038,11.46096270,14499.44030955,32.46814833,6.85864260
150,13187.69335125,33.62342553,7.05375756,18274.53592838,36.83682936,7.59100369
151,23406.62168949,40.76460764,8.00346352,21294.02137868,34.28680239,8.03437018
152,39723.70816248,27.12376389,7.54802723,20447.93979961,29.97640601,7.64611118
153,25742.71282130,34.61902556,7.68816266,49816.78970200,33.26816003,7.68588546
